Modification,Tests,TTFB (ms),% Difference,Throughput (Kbps),% Difference,RTT (ms),% Difference,Latency (ms),% Difference
flags,Vanilla Tor,506.906,,1.525,,212.798,,241.963,
,flags Tor,505.667,-0.24462,1.528,0.0,192.696,-9.44668,233.841,-3.35692
distance,Vanilla Tor,517.179,,1.494,,204.257,,213.946,
,distance Tor,392.92,-24.02628,1.967,0.032,117.912,-42.27276,128.589,-39.89666
bandwidth,Vanilla Tor,491.438,,1.573,,191.728,,198.922,
,bandwidth Tor,564.992,14.96698,1.366,-0.013,225.4,17.56247,240.928,21.11677
overload,Vanilla Tor,515.292,,1.515,,213.559,,250.385,
,overload Tor,472.732,-8.25948,1.649,0.009,183.765,-13.95123,189.278,-24.40522
combined_60-95,Vanilla Tor,456.688,,1.693,,174.97,,190.264,
,combined_60-95 Tor,330.356,-27.66276,2.339,0.038,115.963,-33.72443,121.748,-36.01118
