Modification,Tests,TTFB (ms),% Difference,Throughput (Kbps),% Difference,RTT (ms),% Difference,Latency (ms),% Difference
flags,Vanilla Tor,542.994,,1.423,,164.457,,175.938,
,flags Tor,558.4,2.83714,1.384,-0.003,180.003,9.45304,194.234,10.3994
distance,Vanilla Tor,435.657,,1.774,,182.632,,188.014,
,distance Tor,341.426,-21.62975,2.264,0.028,129.881,-28.88405,138.546,-26.31054
bandwidth,Vanilla Tor,517.459,,1.494,,201.876,,213.751,
,bandwidth Tor,479.32,-7.37053,1.612,0.008,214.729,6.36679,205.45,-3.8835
overload,Vanilla Tor,507.372,,1.509,,202.989,,221.673,
,overload Tor,460.612,-9.21611,1.667,0.01,173.999,-14.28191,187.186,-15.5576
combined_60-95,Vanilla Tor,515.174,,1.5,,171.452,,181.818,
,combined_60-95 Tor,353.808,-31.32278,2.184,0.046,119.169,-30.49423,127.81,-29.70435
