Modification,Metric,P-Value
flags,ttfb_p_value,0.33393109671110066
flags,throughput_p_value,0.926397339204003
flags,rtt_p_value,0.8436387740266137
flags,latency_p_value,0.23189619347017326
distance,ttfb_p_value,0.00717918828019087
distance,throughput_p_value,0.022159215453347376
distance,rtt_p_value,0.0002831473161188978
distance,latency_p_value,0.008768464506684271
bandwidth,ttfb_p_value,0.008269687464702302
bandwidth,throughput_p_value,0.10914285469599537
bandwidth,rtt_p_value,0.08367521455888687
bandwidth,latency_p_value,0.013468724503937645
overload,ttfb_p_value,0.7922354860678661
overload,throughput_p_value,0.42806468388814867
overload,rtt_p_value,0.6019846050217316
overload,latency_p_value,0.8741331695218056
combined_60-95,ttfb_p_value,6.626668255831482e-08
combined_60-95,throughput_p_value,0.00020417810010126252
combined_60-95,rtt_p_value,1.566549038381821e-08
combined_60-95,latency_p_value,9.269959714540049e-10
