Modification,Metric,P-Value
flags,ttfb_p_value,0.481937404023026
flags,throughput_p_value,0.09279578952744541
flags,rtt_p_value,0.829102224637565
flags,latency_p_value,0.3791792905192217
distance,ttfb_p_value,0.012354154296728388
distance,throughput_p_value,7.342421746285367e-15
distance,rtt_p_value,0.0015583704652074276
distance,latency_p_value,0.009299026173737224
bandwidth,ttfb_p_value,0.08285218185672878
bandwidth,throughput_p_value,0.00013722555212655394
bandwidth,rtt_p_value,0.6281582276850313
bandwidth,latency_p_value,0.4060661024155203
overload,ttfb_p_value,0.37035879703147445
overload,throughput_p_value,0.14134259907319835
overload,rtt_p_value,0.5028258880879285
overload,latency_p_value,0.2855165537236683
combined_60-95,ttfb_p_value,3.931156142606236e-13
combined_60-95,throughput_p_value,1.3870538002336971e-10
combined_60-95,rtt_p_value,1.4795547342315347e-16
combined_60-95,latency_p_value,4.424705297941369e-19
