Modification,Tests,TTFB (ms),% Difference,Throughput (Kbps),% Difference,RTT (ms),% Difference,Latency (ms),% Difference
flags,Vanilla Tor,407.486,,1.897,,171.178,,178.963,
,flags Tor,456.02,11.91061,1.698,-0.01,214.482,25.29757,233.068,30.23279
distance,Vanilla Tor,479.95,,1.61,,178.253,,210.718,
,distance Tor,260.54,-45.71523,2.966,0.084,120.91,-32.16955,135.014,-35.9266
bandwidth,Vanilla Tor,432.31,,1.788,,190.858,,196.05,
,bandwidth Tor,588.599,36.15202,1.313,-0.027,260.457,36.46627,277.974,41.78741
overload,Vanilla Tor,453.905,,1.707,,197.737,,228.894,
,overload Tor,501.47,10.47895,1.541,-0.01,245.141,23.97312,252.893,10.48452
combined_60-95,Vanilla Tor,442.734,,1.746,,185.537,,217.808,
,combined_60-95 Tor,272.817,-38.37903,2.833,0.062,116.415,-37.25483,125.812,-42.2372
