Modification,Metric,P-Value
flags,ttfb_p_value,0.532359915254109
flags,throughput_p_value,0.544511949956463
flags,rtt_p_value,0.217750512237417
flags,latency_p_value,0.3936521023241729
distance,ttfb_p_value,0.0003566907894911817
distance,throughput_p_value,1.0321338827628374e-16
distance,rtt_p_value,1.2459103547703008e-07
distance,latency_p_value,0.026633477104474754
bandwidth,ttfb_p_value,0.0004102620476264072
bandwidth,throughput_p_value,0.0011818862895641633
bandwidth,rtt_p_value,0.007351099056238678
bandwidth,latency_p_value,0.0005250848868120328
overload,ttfb_p_value,0.6599176233149084
overload,throughput_p_value,0.2290924006493128
overload,rtt_p_value,0.33544090833601126
overload,latency_p_value,0.4489347053070294
combined_60-95,ttfb_p_value,1.7431095067089902e-07
combined_60-95,throughput_p_value,4.0897690717101475e-20
combined_60-95,rtt_p_value,1.0470630647819396e-07
combined_60-95,latency_p_value,0.007071002999351654
